fips,state,abbv,county,fi_rate,fi_rate_child,fi_rate_below_185_fpl_child,cost_per_meal,food_budget_shortfall,fi_count,fi_count_child
1001, Alabama,AL,Autauga County,15.6,21.4,81.0,3.33,4857000.0,8620,2870.0
1003, Alabama,AL,Baldwin County,12.9,16.9,84.0,3.58,16274000.0,26860,7710.0
1005, Alabama,AL,Barbour County,21.9,32.0,94.0,3.12,2988000.0,5650,1740.0
1007, Alabama,AL,Bibb County,15.1,20.9,100.0,2.94,1690000.0,3400,970.0
1009, Alabama,AL,Blount County,13.6,19.1,100.0,3.14,4149000.0,7810,2580.0
1011, Alabama,AL,Bullock County,20.5,32.4,66.0,3.32,1192000.0,2120,700.0
1013, Alabama,AL,Butler County,19.1,27.0,96.0,2.97,1917000.0,3820,1230.0
1015, Alabama,AL,Calhoun County,17.4,24.6,100.0,2.98,10097000.0,20050,6210.0
1017, Alabama,AL,Chambers County,16.4,22.2,100.0,2.92,2730000.0,5530,1560.0
1019, Alabama,AL,Cherokee County,15.6,21.1,100.0,3.25,2221000.0,4040,1110.0
1021, Alabama,AL,Chilton County,15.8,21.0,100.0,3.15,3714000.0,6960,2230.0
1023, Alabama,AL,Choctaw County,20.7,31.6,87.0,2.99,1372000.0,2710,840.0
1025, Alabama,AL,Clarke County,21.1,27.7,79.0,2.93,2550000.0,5150,1490.0
1027, Alabama,AL,Clay County,15.9,21.4,100.0,3.14,1132000.0,2130,600.0
1029, Alabama,AL,Cleburne County,17.5,26.2,100.0,3.04,1349000.0,2620,900.0
1031, Alabama,AL,Coffee County,15.6,21.7,92.0,3.44,4639000.0,7980,2640.0
1033, Alabama,AL,Colbert County,16.4,23.1,97.0,2.87,4340000.0,8940,2680.0
1035, Alabama,AL,Conecuh County,19.5,27.8,100.0,2.96,1221000.0,2440,740.0
1037, Alabama,AL,Coosa County,16.4,24.5,96.0,3.35,1010000.0,1780,450.0
1039, Alabama,AL,Covington County,17.7,25.1,95.0,2.98,3326000.0,6600,2060.0
1041, Alabama,AL,Crenshaw County,16.6,22.6,100.0,3.29,1280000.0,2300,700.0
1043, Alabama,AL,Cullman County,15.1,20.2,100.0,3.17,6680000.0,12470,3760.0
1045, Alabama,AL,Dale County,18.0,24.2,100.0,3.18,4763000.0,8860,2780.0
1047, Alabama,AL,Dallas County,22.7,32.6,77.0,3.16,4844000.0,9070,3180.0
1049, Alabama,AL,DeKalb County,16.6,22.7,100.0,3.16,6314000.0,11790,3960.0
1051, Alabama,AL,Elmore County,14.3,19.3,80.0,3.36,6627000.0,11640,3510.0
1053, Alabama,AL,Escambia County,19.4,26.5,99.0,2.99,3653000.0,7220,2210.0
1055, Alabama,AL,Etowah County,16.6,24.6,100.0,3.03,8792000.0,17120,5490.0
1057, Alabama,AL,Fayette County,18.3,27.8,100.0,3.24,1666000.0,3040,990.0
1059, Alabama,AL,Franklin County,15.7,23.0,100.0,2.91,2437000.0,4950,1790.0
1061, Alabama,AL,Geneva County,19.0,28.1,100.0,2.95,2518000.0,5040,1650.0
1063, Alabama,AL,Greene County,26.1,38.6,91.0,3.34,1243000.0,2200,720.0
1065, Alabama,AL,Hale County,20.7,28.3,89.0,3.31,1733000.0,3090,980.0
1067, Alabama,AL,Henry County,15.1,21.0,100.0,3.23,1414000.0,2590,750.0
1069, Alabama,AL,Houston County,16.9,23.6,92.0,3.24,9660000.0,17610,5750.0
1071, Alabama,AL,Jackson County,17.2,24.3,100.0,3.21,4863000.0,8960,2710.0
1073, Alabama,AL,Jefferson County,16.1,21.1,79.0,3.21,57859000.0,106470,31980.0
1075, Alabama,AL,Lamar County,18.3,27.4,100.0,3.16,1363000.0,2550,840.0
1077, Alabama,AL,Lauderdale County,14.9,20.3,100.0,2.93,6853000.0,13810,3750.0
1079, Alabama,AL,Lawrence County,16.5,22.7,100.0,3.17,2930000.0,5470,1640.0
1081, Alabama,AL,Lee County,15.5,19.7,88.0,3.56,14861000.0,24680,6740.0
1083, Alabama,AL,Limestone County,14.1,19.3,91.0,3.18,7052000.0,13100,4130.0
1085, Alabama,AL,Lowndes County,23.4,34.1,86.0,3.33,1351000.0,2400,790.0
1087, Alabama,AL,Macon County,20.2,29.0,69.0,3.26,2121000.0,3850,990.0
1089, Alabama,AL,Madison County,13.6,18.0,79.0,3.17,26080000.0,48620,14230.0
1091, Alabama,AL,Marengo County,20.1,25.5,94.0,2.98,1976000.0,3920,1140.0
1093, Alabama,AL,Marion County,17.8,25.4,100.0,3.15,2850000.0,5350,1600.0
1095, Alabama,AL,Marshall County,16.2,23.3,100.0,2.97,7734000.0,15380,5510.0
1097, Alabama,AL,Mobile County,16.8,23.4,84.0,3.16,37293000.0,69830,23060.0
1099, Alabama,AL,Monroe County,21.9,28.8,81.0,2.99,2386000.0,4720,1420.0
1101, Alabama,AL,Montgomery County,17.8,24.1,75.0,3.26,22289000.0,40430,12930.0
1103, Alabama,AL,Morgan County,14.9,20.5,100.0,3.1,9285000.0,17700,5620.0
1105, Alabama,AL,Perry County,27.0,37.7,87.0,3.07,1331000.0,2560,780.0
1107, Alabama,AL,Pickens County,19.7,29.2,83.0,3.38,2297000.0,4010,1170.0
1109, Alabama,AL,Pike County,18.8,26.0,90.0,3.41,3629000.0,6280,1700.0
1111, Alabama,AL,Randolph County,15.6,22.4,100.0,2.96,1766000.0,3520,1100.0
1113, Alabama,AL,Russell County,18.2,24.1,89.0,3.14,5624000.0,10580,3450.0
1115, Alabama,AL,St. Clair County,14.1,18.5,93.0,3.45,7167000.0,12280,3710.0
1117, Alabama,AL,Shelby County,10.6,13.7,71.0,3.39,12862000.0,22450,6950.0
1119, Alabama,AL,Sumter County,23.0,31.2,76.0,2.96,1500000.0,2990,790.0
1121, Alabama,AL,Talladega County,17.7,25.1,96.0,3.29,7916000.0,14230,4350.0
1123, Alabama,AL,Tallapoosa County,17.5,26.3,100.0,3.16,3801000.0,7110,2250.0
1125, Alabama,AL,Tuscaloosa County,14.8,19.0,80.0,3.47,17888000.0,30460,8180.0
1127, Alabama,AL,Walker County,18.0,25.8,100.0,2.91,5733000.0,11640,3710.0
1129, Alabama,AL,Washington County,19.3,29.9,100.0,3.2,1739000.0,3210,1110.0
1131, Alabama,AL,Wilcox County,24.7,34.9,83.0,3.1,1403000.0,2670,920.0
1133, Alabama,AL,Winston County,17.1,25.1,100.0,2.89,1993000.0,4080,1260.0
2013, Alaska,AK,Aleutians East Borough,11.6,16.0,83.0,4.34,294000.0,400,80.0
2016, Alaska,AK,Aleutians West Census Area,11.3,10.4,85.0,6.45,710000.0,650,100.0
2020, Alaska,AK,Anchorage Municipality,11.5,16.1,67.0,3.73,21500000.0,34080,11790.0
2050, Alaska,AK,Bethel Census Area,21.1,31.0,100.0,4.09,2637000.0,3810,2000.0
2060, Alaska,AK,Bristol Bay Borough,12.2,16.5,70.0,3.83,71000.0,110,30.0
2068, Alaska,AK,Denali Borough,14.9,18.0,55.0,3.75,209000.0,330,50.0
2070, Alaska,AK,Dillingham Census Area,16.1,24.2,100.0,4.1,555000.0,800,370.0
2090, Alaska,AK,Fairbanks North Star Borough,11.5,15.7,79.0,3.68,7155000.0,11480,3800.0
2100, Alaska,AK,Haines Borough,13.3,21.9,59.0,3.71,207000.0,330,120.0
2105, Alaska,AK,Hoonah-Angoon Census Area,15.5,26.6,100.0,3.52,197000.0,330,90.0
2110, Alaska,AK,Juneau City and Borough,10.4,14.1,50.0,3.49,1994000.0,3380,990.0
2122, Alaska,AK,Kenai Peninsula Borough,13.9,20.7,84.0,4.34,5925000.0,8070,2750.0
2130, Alaska,AK,Ketchikan Gateway Borough,13.1,19.2,72.0,3.55,1080000.0,1800,590.0
2150, Alaska,AK,Kodiak Island Borough,12.3,16.8,94.0,3.85,1094000.0,1680,600.0
2158, Alaska,AK,Kusilvak Census Area,28.0,43.2,100.0,4.35,1688000.0,2290,1440.0
2164, Alaska,AK,Lake and Peninsula Borough,17.3,27.7,92.0,3.83,156000.0,240,100.0
2170, Alaska,AK,Matanuska-Susitna Borough,12.6,18.6,66.0,4.09,9041000.0,13070,5230.0
2180, Alaska,AK,Nome Census Area,19.1,27.9,100.0,4.35,1393000.0,1890,950.0
2185, Alaska,AK,North Slope Borough,13.1,18.4,87.0,3.72,806000.0,1280,470.0
2188, Alaska,AK,Northwest Arctic Borough,21.2,31.8,100.0,3.94,1093000.0,1640,860.0
2195, Alaska,AK,Petersburg Borough,13.8,22.1,77.0,3.73,284000.0,450,160.0
2198, Alaska,AK,Prince of Wales-Hyder Census Area,17.8,28.5,87.0,3.52,685000.0,1150,440.0
2220, Alaska,AK,Sitka City and Borough,11.0,13.6,63.0,3.73,606000.0,960,260.0
2230, Alaska,AK,Skagway Municipality,13.0,18.9,37.0,3.7,88000.0,140,30.0
2240, Alaska,AK,Southeast Fairbanks Census Area,14.8,22.1,80.0,3.76,649000.0,1020,410.0
2261, Alaska,AK,Valdez-Cordova Census Area,11.9,16.9,57.0,3.83,720000.0,1110,370.0
2275, Alaska,AK,Wrangell City and Borough,13.2,18.4,91.0,3.77,210000.0,330,90.0
2282, Alaska,AK,Yakutat City and Borough,11.9,16.6,100.0,3.94,53000.0,80,30.0
2290, Alaska,AK,Yukon-Koyukuk Census Area,22.0,35.3,96.0,3.8,765000.0,1190,530.0
4001, Arizona,AZ,Apache County,22.6,35.0,98.0,3.22,8804000.0,16180,6950.0
4003, Arizona,AZ,Cochise County,14.4,21.6,92.0,2.95,9036000.0,18130,6010.0
4005, Arizona,AZ,Coconino County,14.3,20.5,81.0,3.29,11156000.0,20030,6090.0
4007, Arizona,AZ,Gila County,17.7,29.8,92.0,3.07,4911000.0,9440,3240.0
4009, Arizona,AZ,Graham County,14.6,22.1,84.0,2.96,2765000.0,5520,2290.0
4011, Arizona,AZ,Greenlee County,11.8,15.8,87.0,3.02,573000.0,1120,420.0
4012, Arizona,AZ,La Paz County,17.5,28.1,97.0,3.06,1872000.0,3610,960.0
4013, Arizona,AZ,Maricopa County,12.1,17.2,80.0,3.15,274356000.0,515130,179720.0
4015, Arizona,AZ,Mohave County,16.8,25.7,96.0,3.13,18292000.0,34560,9480.0
4017, Arizona,AZ,Navajo County,20.2,31.3,94.0,2.96,10989000.0,21940,9300.0
4019, Arizona,AZ,Pima County,13.6,19.8,88.0,3.1,72878000.0,138690,43150.0
4021, Arizona,AZ,Pinal County,12.7,19.3,83.0,2.96,26784000.0,53440,18980.0
4023, Arizona,AZ,Santa Cruz County,15.3,23.8,100.0,2.58,3108000.0,7110,3060.0
4025, Arizona,AZ,Yavapai County,13.9,20.7,82.0,3.32,17492000.0,31150,7810.0
4027, Arizona,AZ,Yuma County,18.8,30.8,98.0,2.72,17979000.0,38990,16410.0
5001, Arkansas,AR,Arkansas County,19.3,25.0,91.0,3.03,1796000.0,3500,1050.0
5003, Arkansas,AR,Ashley County,19.6,27.7,98.0,2.95,2015000.0,4030,1320.0
5005, Arkansas,AR,Baxter County,16.3,23.2,100.0,3.19,3629000.0,6720,1680.0
5007, Arkansas,AR,Benton County,11.6,14.4,94.0,3.02,15412000.0,30160,9960.0
5009, Arkansas,AR,Boone County,15.9,22.7,100.0,2.67,2678000.0,5930,1930.0
5011, Arkansas,AR,Bradley County,19.6,26.7,92.0,2.88,1044000.0,2140,690.0
5013, Arkansas,AR,Calhoun County,16.9,26.5,100.0,2.83,422000.0,880,270.0
5015, Arkansas,AR,Carroll County,14.4,19.2,100.0,2.98,2016000.0,4000,1170.0
5017, Arkansas,AR,Chicot County,23.9,33.4,81.0,2.91,1277000.0,2590,820.0
5019, Arkansas,AR,Clark County,17.5,23.7,94.0,2.98,1978000.0,3920,1010.0
5021, Arkansas,AR,Clay County,19.9,28.8,100.0,2.65,1345000.0,3000,950.0
5023, Arkansas,AR,Cleburne County,16.1,23.3,93.0,3.1,2127000.0,4050,1120.0
5025, Arkansas,AR,Cleveland County,17.5,26.6,98.0,2.95,718000.0,1440,500.0
5027, Arkansas,AR,Columbia County,19.8,27.4,73.0,2.91,2333000.0,4740,1390.0
5029, Arkansas,AR,Conway County,18.5,25.8,100.0,2.79,1825000.0,3870,1230.0
5031, Arkansas,AR,Craighead County,16.8,21.8,86.0,2.75,8293000.0,17790,5700.0
5033, Arkansas,AR,Crawford County,16.0,22.6,100.0,2.75,4645000.0,9970,3500.0
