state,year,num_households,num_intv,fi_rate,moe
AK,2001-2003,232000,1967,11.5,1.67
AL,2001-2003,1805000,2161,12.5,1.23
AR,2001-2003,1062000,1730,15.5,1.75
AZ,2001-2003,1958000,1932,12.3,1.36
CA,2001-2003,12617000,9165,12.2,0.64
CO,2001-2003,1717000,2916,9.7,0.77
CT,2001-2003,1287000,2492,8.0,0.73
DC,2001-2003,264000,1782,9.0,1.19
DE,2001-2003,306000,1827,6.7,1.08
FL,2001-2003,6532000,6253,11.7,0.73
GA,2001-2003,3233000,1949,12.9,1.48
HI,2001-2003,411000,1595,9.9,1.4
IA,2001-2003,1169000,2593,9.5,1.02
ID,2001-2003,503000,1952,13.7,1.45
IL,2001-2003,4784000,5046,7.9,0.68
IN,2001-2003,2413000,2834,9.9,1.08
KS,2001-2003,1061000,2583,11.7,1.28
KY,2001-2003,1638000,2073,11.2,1.41
LA,2001-2003,1689000,1546,12.3,1.24
MA,2001-2003,2533000,2857,6.2,1.21
MD,2001-2003,2096000,2403,7.7,1.17
ME,2001-2003,536000,2695,9.2,1.08
MI,2001-2003,3965000,3982,10.1,0.68
MN,2001-2003,1918000,2792,7.1,0.99
MO,2001-2003,2241000,2288,10.4,1.45
MS,2001-2003,1076000,1469,14.9,1.43
MT,2001-2003,376000,1763,12.5,1.19
NC,2001-2003,3184000,3011,13.7,1.26
ND,2001-2003,263000,2416,6.9,1.07
NE,2001-2003,667000,2375,10.4,1.29
NH,2001-2003,496000,2515,6.4,0.79
NJ,2001-2003,3168000,3329,8.6,0.93
NM,2001-2003,700000,1599,14.8,1.46
NV,2001-2003,767000,2746,9.2,0.96
NY,2001-2003,7190000,6990,10.0,0.5
OH,2001-2003,4475000,4611,10.9,0.9
OK,2001-2003,1386000,1983,14.1,1.38
OR,2001-2003,1388000,2354,12.9,1.16
PA,2001-2003,4755000,5302,9.5,0.7
RI,2001-2003,404000,2549,11.1,1.31
SC,2001-2003,1583000,1821,13.5,1.23
SD,2001-2003,296000,2454,8.9,1.09
TN,2001-2003,2291000,1738,10.9,1.25
TX,2001-2003,7808000,5693,14.9,0.88
UT,2001-2003,737000,1811,14.6,1.73
VA,2001-2003,2835000,2301,8.4,0.82
VT,2001-2003,254000,2271,8.9,0.98
WA,2001-2003,2379000,2671,11.6,1.23
WI,2001-2003,2143000,3100,9.0,0.97
WV,2001-2003,750000,2296,8.9,0.8
WY,2001-2003,205000,2105,10.1,1.25
U.S.,2004-2006,114338000,141683,11.3,0.26
AK,2004-2006,243000,1785,12.6,1.36
AL,2004-2006,1831000,1685,12.1,1.55
AR,2004-2006,1125000,1687,14.3,1.17
AZ,2004-2006,2216000,1868,13.1,1.55
CA,2004-2006,12807000,10155,10.9,0.73
CO,2004-2006,1874000,2988,12.0,1.31
CT,2004-2006,1386000,2758,8.6,0.95
DC,2004-2006,266000,1970,12.5,0.9
DE,2004-2006,328000,2118,7.8,1.43
FL,2004-2006,7242000,5893,8.9,0.56
GA,2004-2006,3523000,2844,12.6,1.65
HI,2004-2006,448000,1843,7.8,0.59
IA,2004-2006,1210000,2857,11.4,1.33
ID,2004-2006,526000,1696,12.7,0.88
IL,2004-2006,4937000,4373,9.8,0.85
IN,2004-2006,2480000,2453,10.8,1.44
KS,2004-2006,1098000,2303,12.5,0.8
KY,2004-2006,1690000,2064,13.6,1.66
LA,2004-2006,1585000,1251,14.4,1.41
MA,2004-2006,2492000,2246,8.1,0.83
MD,2004-2006,2125000,3119,9.5,1.13
ME,2004-2006,545000,2945,12.9,1.04
MI,2004-2006,3985000,3529,12.2,1.19
MN,2004-2006,2043000,3415,8.2,0.94
MO,2004-2006,2383000,2598,12.3,1.12
MS,2004-2006,1103000,1312,18.1,1.87
MT,2004-2006,412000,1697,9.9,1.44
NC,2004-2006,3426000,2939,12.9,1.24
ND,2004-2006,262000,2048,6.4,0.94
NE,2004-2006,709000,2323,9.5,1.68
NH,2004-2006,509000,2889,7.4,0.94
NJ,2004-2006,3172000,2660,7.7,0.87
NM,2004-2006,770000,1453,16.1,2.0
NV,2004-2006,923000,2232,8.8,0.66
NY,2004-2006,7468000,5726,9.8,0.47
OH,2004-2006,4617000,4180,12.7,0.89
OK,2004-2006,1401000,1884,14.6,1.36
OR,2004-2006,1434000,1997,11.9,1.32
PA,2004-2006,4916000,4604,10.0,0.78
RI,2004-2006,429000,2407,11.3,1.26
SC,2004-2006,1703000,1991,14.7,1.58
SD,2004-2006,324000,2392,9.5,0.69
TN,2004-2006,2418000,1967,12.5,1.72
TX,2004-2006,8371000,6567,15.9,0.5
UT,2004-2006,806000,1629,14.5,1.69
VA,2004-2006,2827000,2939,7.9,0.86
VT,2004-2006,261000,2116,9.6,1.29
WA,2004-2006,2492000,2523,10.3,1.51
